หัวข้อ,ลิงก์เต็ม
บทที่ ๑: รู้จักกับภาษาไพธอน,https://phyblas.hinaboshi.com/tsuchinoko01
บทที่ ๒: การติดตั้งและเริ่มเขียนโปรแกรม,https://phyblas.hinaboshi.com/tsuchinoko02
บทที่ ๓: ตัวแปรและชนิดของข้อมูล,https://phyblas.hinaboshi.com/tsuchinoko03
บทที่ ๔: พื้นฐานเรื่องฟังก์ชัน,https://phyblas.hinaboshi.com/tsuchinoko04
บทที่ ๕: นิพจน์และการคำนวณ,https://phyblas.hinaboshi.com/tsuchinoko05
บทที่ ๖: ความเป็นจริงเท็จและการตั้งเงื่อนไข,https://phyblas.hinaboshi.com/tsuchinoko06
บทที่ ๗: การทำซ้ำด้วย while,https://phyblas.hinaboshi.com/tsuchinoko07
บทที่ ๘: ข้อมูลชนิดลำดับ,https://phyblas.hinaboshi.com/tsuchinoko08
บทที่ ๙: การทำซ้ำด้วย for,https://phyblas.hinaboshi.com/tsuchinoko09
บทที่ ๑๐: การแสดงผลตัวอักษร,https://phyblas.hinaboshi.com/tsuchinoko10
บทที่ ๑๑: การจัดการกับสายอักขระ,https://phyblas.hinaboshi.com/tsuchinoko11
บทที่ ๑๒: การจัดการกับลิสต์,https://phyblas.hinaboshi.com/tsuchinoko12
บทที่ ๑๓: เซ็ต,https://phyblas.hinaboshi.com/tsuchinoko13
บทที่ ๑๔: ดิกชันนารี,https://phyblas.hinaboshi.com/tsuchinoko14
บทที่ ๑๕: การเรียกใช้มอดูล,https://phyblas.hinaboshi.com/tsuchinoko15
บทที่ ๑๖: ฟังก์ชันที่เกี่ยวข้องกับคณิตศาสตร์,https://phyblas.hinaboshi.com/tsuchinoko16
บทที่ ๑๗: การอ่านข้อมูลจากไฟล์,https://phyblas.hinaboshi.com/tsuchinoko17
บทที่ ๑๘: การเขียนข้อมูลลงไฟล์,https://phyblas.hinaboshi.com/tsuchinoko18
บทที่ ๑๙: การสร้างฟังก์ชัน,https://phyblas.hinaboshi.com/tsuchinoko19
บทที่ ๒๐: ฟังก์ชันเวียนเกิด,https://phyblas.hinaboshi.com/tsuchinoko20
บทที่ ๒๑: คำสั่งพิเศษบางตัวที่เกี่ยวข้องกับฟังก์ชัน,https://phyblas.hinaboshi.com/tsuchinoko21
บทที่ ๒๒: การสร้างคลาส,https://phyblas.hinaboshi.com/tsuchinoko22
บทที่ ๒๓: การรับทอด,https://phyblas.hinaboshi.com/tsuchinoko23
บทที่ ๒๔: เมธอดและแอตทริบิวต์พิเศษของคลาส,https://phyblas.hinaboshi.com/tsuchinoko24
บทที่ ๒๕: การจัดการกับข้อยกเว้น,https://phyblas.hinaboshi.com/tsuchinoko25
บทที่ ๒๖: อิเทอเรเตอร์และเจเนอเรเตอร์,https://phyblas.hinaboshi.com/tsuchinoko26
บทที่ ๒๗: การสร้างคลาสของอิเทอเรเตอร์,https://phyblas.hinaboshi.com/tsuchinoko27
บทที่ ๒๘: ฟังก์ชันบางส่วนที่เกี่ยวข้องกับอิเทอเรเตอร์,https://phyblas.hinaboshi.com/tsuchinoko28
บทที่ ๒๙: การสร้างฟังก์ชันที่มีความซับซ้อน,https://phyblas.hinaboshi.com/tsuchinoko29
บทที่ ๓๐: รู้จักกับเดคอเรเตอร์,https://phyblas.hinaboshi.com/tsuchinoko30
บทที่ ๓๑: ทำความเข้าใจเดคอเรเตอร์มากยิ่งขึ้น,https://phyblas.hinaboshi.com/tsuchinoko31
บทที่ ๓๒: การตกแต่งคลาสด้วยเดคอเรเตอร์,https://phyblas.hinaboshi.com/tsuchinoko32
บทที่ ๓๓: เมธอดของคลาสและเมธอดสถิต,https://phyblas.hinaboshi.com/tsuchinoko33
บทที่ ๓๔: การสร้างมอดูล,https://phyblas.hinaboshi.com/tsuchinoko34
บทที่ ๓๕: การทำมอดูลเป็นแพ็กเกจ,https://phyblas.hinaboshi.com/tsuchinoko35
บทที่ ๓๖: บทส่งท้าย,https://phyblas.hinaboshi.com/tsuchinoko36
