หัวข้อ,ลิงก์เต็ม
一 บทที่ ๑: เพอร์เซปตรอนชั้นเดียว,https://phyblas.hinaboshi.com/umaki01
二 บทที่ ๒: การเรียนรู้ของเพอร์เซปตรอนอย่างง่าย,https://phyblas.hinaboshi.com/umaki02
三 บทที่ ๓: ฟังก์ชันกระตุ้นและการเคลื่อนลงตามความชัน,https://phyblas.hinaboshi.com/umaki03
四 บทที่ ๔: อนุพันธ์และกฎลูกโซ่ของอาเรย์,https://phyblas.hinaboshi.com/umaki04
五 บทที่ ๕: กราฟคำนวณและการแพร่ย้อนกลับ,https://phyblas.hinaboshi.com/umaki05
六 บทที่ ๖: การวิเคราะห์จำแนกประเภทหลายกลุ่ม,https://phyblas.hinaboshi.com/umaki06
七 บทที่ ๗: เพอร์เซปตรอนหลายชั้น,https://phyblas.hinaboshi.com/umaki07
八 บทที่ ๘: การเรียนรู้ของเพอร์เซปตรอนหลายชั้น,https://phyblas.hinaboshi.com/umaki08
九 บทที่ ๙: การสร้างชั้นคำนวณไปข้างหน้าและแพร่ย้อนกลับ,https://phyblas.hinaboshi.com/umaki09
十 บทที่ ๑๐: การประกอบโครงข่ายขึ้นจากชั้นต่างๆ,https://phyblas.hinaboshi.com/umaki10
十一 บทที่ ๑๑: การสร้างโครงข่ายโดยการนิยามขณะวิ่ง,https://phyblas.hinaboshi.com/umaki11
十二 บทที่ ๑๒: ออปทิไมเซอร์,https://phyblas.hinaboshi.com/umaki12
十三 บทที่ ๑๓: การกำหนดค่าพารามิเตอร์ตั้งต้น,https://phyblas.hinaboshi.com/umaki13
十四 บทที่ ๑๔: การวิเคราะห์การถดถอย,https://phyblas.hinaboshi.com/umaki14
十五 บทที่ ๑๕: มินิแบตช์,https://phyblas.hinaboshi.com/umaki15
十六 บทที่ ๑๖: การแบ่งข้อมูลฝึกและข้อมูลตรวจสอบ,https://phyblas.hinaboshi.com/umaki16
十七 บทที่ ๑๗: การป้องกันการเรียนรู้เกินด้วยดรอปเอาต์,https://phyblas.hinaboshi.com/umaki17
十八 บทที่ ๑๘: การเร่งการเรียนรู้ด้วยแบตช์นอร์ม,https://phyblas.hinaboshi.com/umaki18
十九 บทที่ ๑๙: ฟังก์ชันกระตุ้นแบบต่างๆ,https://phyblas.hinaboshi.com/umaki19
二十 บทที่ ๒๐: โครงข่ายประสาทเทียมแบบคอนโวลูชัน (CNN),https://phyblas.hinaboshi.com/umaki20
二十一 บทที่ ๒๑: โครงข่ายประสาทเทียมแบบคอนโวลูชันสองมิติ,https://phyblas.hinaboshi.com/umaki21
一 บทที่ ๑: เพอร์เซปตรอนชั้นเดียว,https://phyblas.hinaboshi.com/umaki01
二 บทที่ ๒: การเรียนรู้ของเพอร์เซปตรอนอย่างง่าย,https://phyblas.hinaboshi.com/umaki02
三 บทที่ ๓: ฟังก์ชันกระตุ้นและการเคลื่อนลงตามความชัน,https://phyblas.hinaboshi.com/umaki03
四 บทที่ ๔: อนุพันธ์และกฎลูกโซ่ของอาเรย์,https://phyblas.hinaboshi.com/umaki04
五 บทที่ ๕: กราฟคำนวณและการแพร่ย้อนกลับ,https://phyblas.hinaboshi.com/umaki05
六 บทที่ ๖: การวิเคราะห์จำแนกประเภทหลายกลุ่ม,https://phyblas.hinaboshi.com/umaki06
七 บทที่ ๗: เพอร์เซปตรอนหลายชั้น,https://phyblas.hinaboshi.com/umaki07
八 บทที่ ๘: การเรียนรู้ของเพอร์เซปตรอนหลายชั้น,https://phyblas.hinaboshi.com/umaki08
九 บทที่ ๙: การสร้างชั้นคำนวณไปข้างหน้าและแพร่ย้อนกลับ,https://phyblas.hinaboshi.com/umaki09
十 บทที่ ๑๐: การประกอบโครงข่ายขึ้นจากชั้นต่างๆ,https://phyblas.hinaboshi.com/umaki10
十一 บทที่ ๑๑: การสร้างโครงข่ายโดยการนิยามขณะวิ่ง,https://phyblas.hinaboshi.com/umaki11
十二 บทที่ ๑๒: ออปทิไมเซอร์,https://phyblas.hinaboshi.com/umaki12
十三 บทที่ ๑๓: การกำหนดค่าพารามิเตอร์ตั้งต้น,https://phyblas.hinaboshi.com/umaki13
十四 บทที่ ๑๔: การวิเคราะห์การถดถอย,https://phyblas.hinaboshi.com/umaki14
十五 บทที่ ๑๕: มินิแบตช์,https://phyblas.hinaboshi.com/umaki15
十六 บทที่ ๑๖: การแบ่งข้อมูลฝึกและข้อมูลตรวจสอบ,https://phyblas.hinaboshi.com/umaki16
十七 บทที่ ๑๗: การป้องกันการเรียนรู้เกินด้วยดรอปเอาต์,https://phyblas.hinaboshi.com/umaki17
十八 บทที่ ๑๘: การเร่งการเรียนรู้ด้วยแบตช์นอร์ม,https://phyblas.hinaboshi.com/umaki18
十九 บทที่ ๑๙: ฟังก์ชันกระตุ้นแบบต่างๆ,https://phyblas.hinaboshi.com/umaki19
二十 บทที่ ๒๐: โครงข่ายประสาทเทียมแบบคอนโวลูชัน (CNN),https://phyblas.hinaboshi.com/umaki20
二十一 บทที่ ๒๑: โครงข่ายประสาทเทียมแบบคอนโวลูชันสองมิติ,https://phyblas.hinaboshi.com/umaki21
