หัวข้อ,ลิงก์เต็ม
บทที่ ๑: บทนำ,https://phyblas.hinaboshi.com/tomoshibi01
บทที่ ๒: เทนเซอร์,https://phyblas.hinaboshi.com/tomoshibi02
บทที่ ๓: อนุพันธ์ของเทนเซอร์,https://phyblas.hinaboshi.com/tomoshibi03
บทที่ ๔: การสร้างชั้นคำนวณ,https://phyblas.hinaboshi.com/tomoshibi04
บทที่ ๕: ออปทิไมเซอร์,https://phyblas.hinaboshi.com/tomoshibi05
บทที่ ๖: การวิเคราะห์การถดถอยโลจิสติก,https://phyblas.hinaboshi.com/tomoshibi06
บทที่ ๗: การสร้างเพอร์เซปตรอนหลายชั้น,https://phyblas.hinaboshi.com/tomoshibi07
บทที่ ๘: การกำหนดค่าพารามิเตอร์ตั้งต้น,https://phyblas.hinaboshi.com/tomoshibi08
บทที่ ๙: ดรอปเอาต์และแบตช์นอร์ม,https://phyblas.hinaboshi.com/tomoshibi09
บทที่ ๑๐: มินิแบตช์,https://phyblas.hinaboshi.com/tomoshibi10
บทที่ ๑๑: การใช้ข้อมูลรูปภาพ,https://phyblas.hinaboshi.com/tomoshibi11
บทที่ ๑๒: โครงข่ายประสาทเทียมแบบคอนโวลูชัน (CNN),https://phyblas.hinaboshi.com/tomoshibi12
บทที่ ๑๓: การแยกข้อมูลฝึกและข้อมูลตรวจสอบ,https://phyblas.hinaboshi.com/tomoshibi13
บทที่ ๑๔: การใช้ GPU,https://phyblas.hinaboshi.com/tomoshibi14
บทที่ ๑๕: การบันทึกและอ่านแบบจำลองที่เรียนรู้เสร็จแล้ว,https://phyblas.hinaboshi.com/tomoshibi15
บทที่ ๑๖: การเรียนรู้แบบถ่ายโอน,https://phyblas.hinaboshi.com/tomoshibi16
บทที่ ๑: บทนำ,https://phyblas.hinaboshi.com/tomoshibi01
บทที่ ๒: เทนเซอร์,https://phyblas.hinaboshi.com/tomoshibi02
บทที่ ๓: อนุพันธ์ของเทนเซอร์,https://phyblas.hinaboshi.com/tomoshibi03
บทที่ ๔: การสร้างชั้นคำนวณ,https://phyblas.hinaboshi.com/tomoshibi04
บทที่ ๕: ออปทิไมเซอร์,https://phyblas.hinaboshi.com/tomoshibi05
บทที่ ๖: การวิเคราะห์การถดถอยโลจิสติก,https://phyblas.hinaboshi.com/tomoshibi06
บทที่ ๗: การสร้างเพอร์เซปตรอนหลายชั้น,https://phyblas.hinaboshi.com/tomoshibi07
บทที่ ๘: การกำหนดค่าพารามิเตอร์ตั้งต้น,https://phyblas.hinaboshi.com/tomoshibi08
บทที่ ๙: ดรอปเอาต์และแบตช์นอร์ม,https://phyblas.hinaboshi.com/tomoshibi09
บทที่ ๑๐: มินิแบตช์,https://phyblas.hinaboshi.com/tomoshibi10
บทที่ ๑๑: การใช้ข้อมูลรูปภาพ,https://phyblas.hinaboshi.com/tomoshibi11
บทที่ ๑๒: โครงข่ายประสาทเทียมแบบคอนโวลูชัน (CNN),https://phyblas.hinaboshi.com/tomoshibi12
บทที่ ๑๓: การแยกข้อมูลฝึกและข้อมูลตรวจสอบ,https://phyblas.hinaboshi.com/tomoshibi13
บทที่ ๑๔: การใช้ GPU,https://phyblas.hinaboshi.com/tomoshibi14
บทที่ ๑๕: การบันทึกและอ่านแบบจำลองที่เรียนรู้เสร็จแล้ว,https://phyblas.hinaboshi.com/tomoshibi15
บทที่ ๑๖: การเรียนรู้แบบถ่ายโอน,https://phyblas.hinaboshi.com/tomoshibi16
